issue_type,row_ids,detail
CROSS_REFERENCE_CANDIDATE,1097;376,"NCCE row 'Abubakar Tatari Polytechnic' best matches 'Abubakar Tatari Ali Polytechnic, Bauchi' at ratio=0.82. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
CROSS_REFERENCE_CANDIDATE,1231;397,"NCCE row 'Hassan Usman Katsina Polytechnic' best matches 'Hassan Usman Katsina Polytechnic, Katshina' at ratio=0.86. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
CROSS_REFERENCE_CANDIDATE,1255;393,"NCCE row 'Jigawa State Polytechnic' best matches 'Jigawa State Polytechnic, Dutse' at ratio=0.87. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
CROSS_REFERENCE_CANDIDATE,1258;350,"NCCE row 'Kaduna Polytechnics' best matches 'Kaduna Polytechnic, Kaduna' at ratio=0.80. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
CROSS_REFERENCE_CANDIDATE,1261;395,"NCCE row 'Kano State Polytechnic' best matches 'Kano State Polytechnic, Kano' at ratio=0.88. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
CROSS_REFERENCE_CANDIDATE,1264;398,"NCCE row 'Kebbi State Polytechnic' best matches 'Kebbi State Polytechnic Dakingari' at ratio=0.82. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
CROSS_REFERENCE_CANDIDATE,1291;394,"NCCE row 'Nuhu Bamalli Polytechnic' best matches 'Nuhu Bamalli Polytechnic, Zaria' at ratio=0.87. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
CROSS_REFERENCE_CANDIDATE,1311;421,"NCCE row 'Plateau State Polytechnic' best matches 'Plateau State Polytechnic, Barkin-Ladi' at ratio=0.79. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
CROSS_REFERENCE_CANDIDATE,1315;536,"NCCE row 'Ramat Polytechnic' best matches 'Yenagoa Polytechnic' at ratio=0.78. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
CROSS_REFERENCE_CANDIDATE,1338;525,"NCCE row 'The Polytechnic Iree, Osun State' best matches 'Wolex Polytechnic, Iwo, Osun State' at ratio=0.82. NOT auto-merged, confirm by hand. If confirmed, merge manually and drop the NCCE row's separate import."
