canonical_id,name,short_name,institution_type,ownership,state,country,website,regulatory_code,source_url,last_verified_at,merged_from_row_ids
1,"Abubakar Tafawa Balewa University, Bauchi",ATBU,UNIVERSITY,FEDERAL,Bauchi,Nigeria,https://www.atbu.edu.ng,,https://www.nuc.edu.ng,2026-09-04,1
2,"Ahmadu Bello University, Zaria",ABU,UNIVERSITY,FEDERAL,,Nigeria,https://www.abu.edu.ng,,https://www.nuc.edu.ng,2026-09-04,2
3,"Bayero University, Kano",BUK,UNIVERSITY,FEDERAL,Kano,Nigeria,https://www.buk.edu.ng,,https://www.nuc.edu.ng,2026-09-04,3
4,"Federal University Gashua, Yobe",FUGASHUA,UNIVERSITY,FEDERAL,Yobe,Nigeria,https://www.fugashua.edu.ng,,https://www.nuc.edu.ng,2026-09-04,4
5,"Federal University of Petroleum Resources, Effurun",FUPRE,UNIVERSITY,FEDERAL,,Nigeria,https://www.fupre.edu.ng,,https://www.nuc.edu.ng,2026-09-04,5
6,"Federal University of Technology, Akure",FUTA,UNIVERSITY,FEDERAL,,Nigeria,https://www.futa.edu.ng,,https://www.nuc.edu.ng,2026-09-04,6
7,"Federal University of Technology, Minna",FUTMINNA,UNIVERSITY,FEDERAL,,Nigeria,https://www.futminna.edu.ng,,https://www.nuc.edu.ng,2026-09-04,7
8,"Federal University of Technology, Owerri",FUTO,UNIVERSITY,FEDERAL,,Nigeria,https://www.futo.edu.ng,,https://www.nuc.edu.ng,2026-09-04,8
9,"Federal University, Dutse, Jigawa State",FUD,UNIVERSITY,FEDERAL,Jigawa,Nigeria,https://www.fud.edu.ng/,,https://www.nuc.edu.ng,2026-09-04,9
10,"Federal University, Dutsin-Ma, Katsina",FUDUTSINMA,UNIVERSITY,FEDERAL,Katsina,Nigeria,https://www.fudutsinma.edu.ng,,https://www.nuc.edu.ng,2026-09-04,10
11,"Federal University, Kashere, Gombe State",FUKASHERE,UNIVERSITY,FEDERAL,Gombe,Nigeria,https://www.fukashere.edu.ng,,https://www.nuc.edu.ng,2026-09-04,11
12,"Federal University, Lafia, Nasarawa State",FULAFIA,UNIVERSITY,FEDERAL,Nasarawa,Nigeria,https://www.fulafia.edu.ng,,https://www.nuc.edu.ng,2026-09-04,12
13,"Federal University, Lokoja, Kogi State",FULOKOJA,UNIVERSITY,FEDERAL,Kogi,Nigeria,https://www.fulokoja.edu.ng,,https://www.nuc.edu.ng,2026-09-04,13
14,"Alex Ekwueme University, Ndufu-Alike, Ebonyi State",FUNAI,UNIVERSITY,FEDERAL,Ebonyi,Nigeria,https://www.funai.edu.ng,,https://www.nuc.edu.ng,2026-09-04,14
15,"Federal University, Otuoke, Bayelsa",FUOTUOKE,UNIVERSITY,FEDERAL,Bayelsa,Nigeria,https://www.fuotuoke.edu.ng/,,https://www.nuc.edu.ng,2026-09-04,15
