school_canonical_id,regulator,raw_category,raw_payload_json,source_url,fetched_at,is_current
1,NUC,Federal University,"{""raw_name"": ""Abubakar Tafawa Balewa University, Bauchi"", ""vc_or_provost"": ""Prof. Ibrahim Hassan Garba"", ""year_established"": ""1988"", ""source_row_number"": ""1"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
2,NUC,Federal University,"{""raw_name"": ""Ahmadu Bello University, Zaria"", ""vc_or_provost"": ""Prof. Adamu Ahmed"", ""year_established"": ""1962"", ""source_row_number"": ""2"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
3,NUC,Federal University,"{""raw_name"": ""Bayero University, Kano"", ""vc_or_provost"": ""Prof. Haruna Musa"", ""year_established"": ""1975"", ""source_row_number"": ""3"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
4,NUC,Federal University,"{""raw_name"": ""Federal University Gashua, Yobe"", ""vc_or_provost"": ""Prof. Maimuna Waziri"", ""year_established"": ""2013"", ""source_row_number"": ""4"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
5,NUC,Federal University,"{""raw_name"": ""Federal University of Petroleum Resources, Effurun"", ""vc_or_provost"": ""Prof.Ezekiel Oghenenyerhovwo Agbalagba"", ""year_established"": ""2007"", ""source_row_number"": ""5"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
6,NUC,Federal University,"{""raw_name"": ""Federal University of Technology, Akure"", ""vc_or_provost"": ""Prof. Temidayo Adenike Oladiji"", ""year_established"": ""1981"", ""source_row_number"": ""6"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
7,NUC,Federal University,"{""raw_name"": ""Federal University of Technology, Minna"", ""vc_or_provost"": ""Professor Faruk Adamu Kuta"", ""year_established"": ""1982"", ""source_row_number"": ""7"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
8,NUC,Federal University,"{""raw_name"": ""Federal University of Technology, Owerri"", ""vc_or_provost"": ""Prof. (Mrs) Nnenna Nnannaya Oti"", ""year_established"": ""1980"", ""source_row_number"": ""8"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
9,NUC,Federal University,"{""raw_name"": ""Federal University, Dutse, Jigawa State"", ""vc_or_provost"": ""Prof. Abdulkarim Sabo Mohammad"", ""year_established"": ""2011"", ""source_row_number"": ""9"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
10,NUC,Federal University,"{""raw_name"": ""Federal University, Dutsin-Ma, Katsina"", ""vc_or_provost"": ""Prof. Aminu Ado (Ag.)"", ""year_established"": ""2011"", ""source_row_number"": ""10"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
11,NUC,Federal University,"{""raw_name"": ""Federal University, Kashere, Gombe State"", ""vc_or_provost"": ""Prof. Muhammad Inuwa Ja'afaru"", ""year_established"": ""2011"", ""source_row_number"": ""11"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
12,NUC,Federal University,"{""raw_name"": ""Federal University, Lafia, Nasarawa State"", ""vc_or_provost"": ""Professor Sheju Adbul Rahman"", ""year_established"": ""2011"", ""source_row_number"": ""12"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
13,NUC,Federal University,"{""raw_name"": ""Federal University, Lokoja, Kogi State"", ""vc_or_provost"": ""Professor Olayemi Akinwunmi"", ""year_established"": ""2011"", ""source_row_number"": ""13"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
14,NUC,Federal University,"{""raw_name"": ""Alex Ekwueme University, Ndufu-Alike, Ebonyi State"", ""vc_or_provost"": ""Prof. Sunday Oge Elom"", ""year_established"": ""2011"", ""source_row_number"": ""14"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
15,NUC,Federal University,"{""raw_name"": ""Federal University, Otuoke, Bayelsa"", ""vc_or_provost"": ""Professor Teddy Charles Adias"", ""year_established"": ""2011"", ""source_row_number"": ""15"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
16,NUC,Federal University,"{""raw_name"": ""Federal University, Oye-Ekiti, Ekiti State"", ""vc_or_provost"": ""Prof. Joshua Ogunwole"", ""year_established"": ""2011"", ""source_row_number"": ""16"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
17,NUC,Federal University,"{""raw_name"": ""Federal University, Wukari, Taraba State"", ""vc_or_provost"": ""Prof. Benjamin Kefas"", ""year_established"": ""2011"", ""source_row_number"": ""17"", ""source_file"": ""(NUC) FEDERAL UNIVERSITIES.md""}",https://www.nuc.edu.ng,2026-09-04,True
